tp_record_share,ke,ki,id_polizza_exp,id_titolo_invio,id_polizza_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,numero_polizza_cmp_delegataria,progressivo,ramo,effetto_titolo,fl_aggiorna_copertura,tipo_titolo_compagnia,tipo_titolo_share,progressivo_titolo,tipo_polizza,frazionamento,stato_share,id_titolo_exp,id_incasso_exp,dt_pag_cliente,numero_foglio_cassa,data_registrazione_fc,data_foglio_cassa,valuta_share,tipo_coass,ns_quota,tipo_premi_delega,netto_totale,diritti_totale,accessori_totale,imponibile_totale,antiracket_totale,ssn_totale,tasse_totale,lordo_totale,provvigioni_totale,provvigioni_acquisto_totale,provvigioni_acquisto_variabile,provvigioni_incasso_totale,collaboratore_1,collaboratore_2,collaboratore_3,collaboratore_4,provv_tot_c2,provv_tot_c3,provv_tot_c4,provv_acq_c2,provv_acq_c3,provv_acq_c4,provv_inc_c2,provv_inc_c3,provv_inc_c4,indicatore_incasso_subagente,fondo_mutua_totale,mezzo_pagamento_cmp,mezzo_pag_share,rischio_cmp,utente_incasso,importo_scatola_nera,id_anagrafica_exp,mandato,filename,data_elaborazione_file,numero_appendice,data_contenzioso
40,000000002434700,,0119050041291,000000002434700,0119050041291,035,4,119,0119050041291,,0,5,2013-03-05,N,Q,QZ,1,1,1,P,000000002434700,,2013-03-04,63.0,2013-03-04,2013-03-04,EUR,1,10000,Q,42.48,4.02,4.23,50.73,0.0,0.0,1.28,52.01,13.16,5.14,0.0,8.02,119,000,102,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOSPESO BROKER,0.0,1073741824,NN,507,,,003070000007833,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000008305257,,0119050041293,000000008305257,0119050041293,035,4,119,0119050041293,,0,5,2016-03-06,N,Q,QZ,1,1,2,P,000000008305257,,2016-03-21,94.0,2016-03-21,2016-03-21,EUR,1,10000,Q,273.56,5.82,27.38,306.76,0.0,0.0,7.68,314.44,72.7,33.1,0.0,39.6,119,000,102,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOSPESO BROKER,0.0,1073741824,NN,510,,,003070000056402,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000019319675,,0119050041293,000000019319675,0119050041293,035,4,119,0119050041293,,0,5,2020-09-06,S,Q,QZ,1,1,2,P,000000019319675,,2020-09-17,386.0,2020-09-17,2020-09-17,EUR,1,10000,Q,280.07,5.95,28.04,314.06,0.0,0.0,7.86,321.92,74.44,33.89,0.0,40.55,119,000,102,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOSPESO BROKER,0.0,1073741824,NN,510,,,003070000056402,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000015767603,,0119050041365,000000015767603,0119050041365,035,4,119,0119050041365,,0,5,2019-03-19,S,Q,QZ,1,1,2,A,000000015767603,,,,,,EUR,1,10000,Q,601.03,7.14,60.09,668.26,0.0,0.0,16.72,684.98,156.34,72.72,0.0,83.62,11902,000,023,000,0.0,42.97,0.0,0.0,0.0,0.0,0.0,42.97,0.0,,0.0,,,510,,,000000005162599,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000001478069,,0119050041370,000000001478069,0119050041370,035,4,119,0119050041370,,0,5,2011-10-14,N,A,AD,1,1,2,A,000000001478069,,,,,,EUR,1,10000,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50.95,-50.95,0.0,0.0,11902,000,002,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,500,,,003070000054727,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000017597664,,0119050041382,000000017597664,0119050041382,035,4,119,0119050041382,,0,5,2019-11-19,N,A,AD,1,1,1,P,000000017597664,,2019-11-19,490.0,2019-11-19,2019-11-19,EUR,1,10000,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,000,102,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOSPESO BROKER,0.0,1073741824,NN,507,,,003070000008179,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,2.0,
40,000000026256589,,0119050041382,000000026256589,0119050041382,035,4,119,0119050041382,,0,5,2022-11-30,N,A,AD,1,1,1,P,000000026256589,,2022-11-30,532.0,2022-11-30,2022-11-30,EUR,1,10000,Q,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,119,000,102,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOSPESO BROKER,0.0,1073741824,NN,507,,,003070000008179,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,3.0,
40,000000013298756,,0119050041401,000000013298756,0119050041401,035,4,119,0119050041401,,0,5,2018-04-03,N,Q,QZ,1,1,1,P,000000013298756,,2018-04-05,138.0,2018-04-05,2018-04-05,EUR,1,10000,Q,45.24,0.98,4.52,50.74,0.0,0.0,1.28,52.02,12.03,5.47,0.0,6.56,119,000,102,000,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,SOSPESO BROKER,0.0,1073741824,NN,507,,,003070000007742,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000017122183,,0119050041429,000000017122183,0119050041429,035,4,119,0119050041429,,0,5,2019-11-30,S,Q,QZ,1,1,1,P,000000017122183,,2019-12-04,518.0,2019-12-05,2019-12-05,EUR,1,10000,Q,214.44,19.82,21.44,255.7,0.0,0.0,6.4,262.1,66.15,25.95,0.0,40.2,11902,000,023,000,0.0,27.12,0.0,0.0,12.97,0.0,0.0,14.15,0.0,MOBILE POS,0.0,72057594037927936,PB,500,,,003070000060744,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
40,000000025558884,,0119050041429,000000025558884,0119050041429,035,4,119,0119050041429,,0,5,2022-11-30,N,Q,QZ,1,1,1,P,000000025558884,,2022-12-07,46202212131.0,2022-12-12,2022-12-12,EUR,1,10000,Q,234.49,21.67,23.43,279.59,0.0,0.0,7.0,286.59,72.32,28.37,0.0,43.95,11902,000,023,000,0.0,29.67,0.0,0.0,14.19,0.0,0.0,15.48,0.0,,0.0,975702239566245111,NN,500,,,003070000060744,1,40_C_4_119_20250120142902_0_P.csv,2025-01-20,,
