tp_record_share,id_polizza_exp,id_polizza_invio,compagnia_share,agenzia,numero_polizza_cmp,progressivo,tipo_polizza_share,cmp_sostituita_1_share,agenzia_sostituita_1,numero_polizza_sostituita_1,progressivo_sostituita_1,numero_applicazione_lm,libro_matricola,filename,data_elaborazione_file,mandato
22,2020010418279,2020010418279,035,130,2020010418279,0,2,,-,2019010405701,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2020010349253,2020010349253,035,114,2020010349253,0,2,,-,2019010421966,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2023010345251,2023010345251,035,130,2023010345251,0,2,,-,2019010440811,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2020010576932,2020010576932,035,130,2020010576932,0,2,,-,2019010623745,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2020010607480,2020010607480,035,130,2020010607480,0,2,,-,2020010055432,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2022010267333,2022010267333,035,114,2022010267333,0,2,,-,2020010279287,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2023010328497,2023010328497,035,465,2023010328497,0,2,,-,2021010301528,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2022010294309,2022010294309,035,114,2022010294309,0,2,,-,2021010320562,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2022010298589,2022010298589,035,659,2022010298589,0,2,,-,2021010334734,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2022010320380,2022010320380,035,114,2022010320380,0,2,,-,2021010351025,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2022010377517,2022010377517,035,114,2022010377517,0,2,,-,2021010363453,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2022010035087,2022010035087,035,130,2022010035087,0,2,,-,2021010369542,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2024016008880,2024016008880,035,114,2024016008880,0,2,,-,2021010488593,0,,N,22_C_4_114_20240719145005_0_P.csv,2024-07-19,1
22,2022010503090,2022010503090,035,465,2022010503090,0,2,,-,2021010554313,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
22,2024016132122,2024016132122,035,130,2024016132122,0,2,,-,2022010262436,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2023010353818,2023010353818,035,659,2023010353818,0,2,,-,2022010318945,0,,N,22_C_4_659_20240719150046_0_P.csv,2024-07-19,1
22,2023010348438,2023010348438,035,130,2023010348438,0,2,,-,2022010340585,0,,N,22_C_4_130_20240719145109_0_P.csv,2024-07-19,1
22,2023010588995,2023010588995,035,465,2023010588995,0,2,,-,2022010354154,0,,N,22_C_4_465_20240719145852_0_P.csv,2024-07-19,1
