tp_record_share,id_polizza_exp,id_polizza_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,progressivo,codice_isin,codice_fondo,descrizione_fondo,categoria_fondo,controvalore,numero_quote,valore_nav,data_ultimo_nav,valuta_share,filename,data_elaborazione_file,mandato
24,20005613152,20005613152,035,4,210,20005613152,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002502597,20002502597,035,4,210,20002502597,1,,151A,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005627472,20005627472,035,4,210,20005627472,1,            ,816,,,46208.78,3057.147,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013007608,20013007608,035,4,210,20013007608,1,            ,801,,,40241.31,2811.718,14.312,2024-01-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005634662,20005634662,035,4,210,20005634662,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013013565,20013013565,035,4,210,20013013565,1,            ,801,,,48078.34,3359.303,14.312,2024-01-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002801368,20002801368,035,4,210,20002801368,3,RMERCATO    ,832,REALE LINEA MERCATO,MONETARIO,0.0,0.0,18.216,2021-04-06,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005623891,20005623891,035,4,210,20005623891,1,            ,816,,,42292.1,2798.022,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002518777,20002518777,035,4,210,20002518777,1,RMERCATO    ,832,REALE LINEA MERCATO,MONETARIO,1313.0,68.955,19.041,2024-01-08,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013008189,20013008189,035,4,210,20013008189,1,            ,801,,,27579.91,1927.048,14.312,2024-01-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005619281,20005619281,035,4,210,20005619281,1,            ,816,,,24500.93,1552.362,15.783,2022-05-17,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005628574,20005628574,035,4,210,20005628574,1,            ,816,,,26506.99,1753.688,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005523096,20005523096,035,4,210,20005523096,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20002801368,20002801368,035,4,210,20002801368,2,RCONTROLLA  ,831,REALE LINEA CONTROLL,,0.0,0.0,9.64,2021-04-06,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005525335,20005525335,035,4,210,20005525335,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005524061,20005524061,035,4,210,20005524061,1,            ,,,,11834.7,1194.459,9.908,2020-11-23,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005535683,20005535683,035,4,210,20005535683,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005538413,20005538413,035,4,210,20005538413,1,,,,,0.0,0.0,0.0,,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20005639599,20005639599,035,4,210,20005639599,1,            ,816,,,13138.49,869.235,15.115,2024-03-12,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
24,20013009212,20013009212,035,4,210,20013009212,1,            ,835,,,67286.26,3824.604,17.593,2024-01-18,EUR,24_C_4_210_20240318125508_0_P.csv,2024-03-18,1
