tp_record_share,id_polizza_exp,id_polizza_invio,compagnia_ania,compagnia_exp,agenzia,numero_polizza_cmp,progressivo,tipo_codice_veicolo,codice_veicolo,data_immatricolazione,settore_rca_share,classe_rca_share,uso_rca_share,tipo_targa_share,targa,telaio,marca,modello,tipo_tariffa_rca_share,bonus_malus_universale,bonus_malus_interna,tp_alimentazione_share,cavalli_fiscali,quintali,posti,cilindrata,peso_posti_rim,kw,massimale_cose,massimale_persone,codice_convenzione,valore_veicolo,fl_indicizzazione,indice_base,indice_istat,tariffa_vita,regolaz_premio,dt_pross_regolazione,gg_comunicazione_dati_regolazione,marca_scatola_nera,natanti_numero_motori,natanti_stazza,natanti_lunghezza_fuori_tutto,natanti_velocita_massima,natanti_immatricolazione_estera,natanti_uso_diporto,libro_matricola,numero_applicazione_lm,descrizione_tariffa_vita,data_prossima_qz,tipo_polizza_vita_share,capitale_caso_morte,capitale_iniziale,capitale_rivalutato,data_ultima_rivalutazione,totale_quote,finanziamento,visita_medica,adeguamento_capitale,durata_pag_premi,cumulo_versamenti,cumulo_riscatti,eta_minima,eta_massima,versamento_minimo,versamento_massimo,data_rescindibilita,percentuale_detraibilita,benefici_mutualita,filename,data_elaborazione_file,mandato
21,2017502420891,2017502420891,035,4,210,2017502420891,0,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0.0,0.0,,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2010802067680,2010802067680,035,4,210,2010802067680,0,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0.0,0.0,,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2014010666480,2014010666480,035,4,210,2014010666480,0,C,000000,2010-09-29,4,3,2,0,ED829WY,,FIAT,PUNTO,,10,23,DIESEL,0,17,0,0,0,0,6000000.0,6000000.0,0945,5500.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2015010624303,2015010624303,035,4,210,2015010624303,0,A,096553,2013-04-24,1,1,1,0,ER939SR,,LANCIA,Ypsilon 3a serie,,1,1,BENZINA,14,0,0,0,0,51,7290000.0,7290000.0,0948,8000.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,2019-10-07,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2016010721817,2016010721817,035,4,210,2016010721817,214,,,2017-04-28,0,0,0,0,FJ563TS,,AUDI,A4 5a serie,,,,,0,0,0,0,0,0,0.0,0.0,0681,0.0,N,0.0,0.0,,,2017-06-30,0,,0,0,0,0,N,N,A,28300000001667.0,,,,0.0,0.0,0.0,,0.0,,,,0,0.0,0.0,0,0,0.0,0.0,,,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2014802193768,2014802193768,035,4,210,2014802193768,0,,,,0,0,0,0,,,,,,,,,0,0,0,0,0,0,0.0,0.0,,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2016010333753,2016010333753,035,4,210,2016010333753,0,C,000000,2004-12-16,4,3,2,0,CT673CG,,FIAT,DOBLO',,3,15,DIESEL,0,20,0,0,0,0,6000000.0,6000000.0,0948,3000.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2015010729009,2015010729009,035,4,210,2015010729009,0,A,093084,2013-08-02,1,1,1,0,ES380PF,,OPEL,Zafira 3a serie,,11,28,METANO,17,0,7,1598,0,110,6000000.0,6000000.0,0945,13900.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2016010308351,2016010308351,035,4,210,2016010308351,0,M,000000,2001-07-25,5,31,1,0,BD73461,,YAMAHA,CC124,,6,19,BENZINA,0,0,0,124,0,0,6000000.0,6000000.0,0948,0.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
21,2016010327814,2016010327814,035,4,210,2016010327814,0,A,081047,2010-07-08,1,1,1,0,EC310ZA,,PORSCHE,Panamera,,4,16,BENZINA,36,0,0,0,0,294,6000000.0,6000000.0,0945,36700.0,N,0.0,0.0,,,,0,,0,0,0,0,N,N,N,,,,,0.0,0.0,0.0,,0.0,N,N,,0,0.0,0.0,0,0,0.0,0.0,,0.0,,21_C_4_210_20240318125508_0_P.csv,2024-03-18,1
